",""source"",""target"",""type"",""weight"""
"203,""J Balvin"",""Pharrell Williams"",""undirected"",1.9047619047619"
"204,""J Balvin"",""Sky Rompiendo"",""undirected"",1.9047619047619"
"205,""BIA"",""Pharrell Williams"",""undirected"",1.9047619047619"
"206,""BIA"",""Sky Rompiendo"",""undirected"",1.9047619047619"
"207,""Pharrell Williams"",""Sky Rompiendo"",""undirected"",1.9047619047619"
"208,""Maroon 5"",""Kendrick Lamar"",""undirected"",1.81818181818182"
"209,""The Weeknd"",""Daft Punk"",""undirected"",1.66666666666667"
"210,""Tiësto"",""Bright Sparks"",""undirected"",1.48148148148148"
"211,""Kungs"",""Ephemerals"",""undirected"",1.42857142857143"
"212,""Martin Solveig"",""Ina Wroldsen"",""undirected"",1.33333333333333"
"213,""Maluma"",""Fifth Harmony"",""undirected"",1.21212121212121"
"214,""Zion & Lennox"",""J Balvin"",""undirected"",1.14285714285714"
"215,""The Chainsmokers"",""Halsey"",""undirected"",1.11111111111111"
"216,""Martin Garrix"",""Bebe Rexha"",""undirected"",1.08108108108108"
"217,""Luis Fonsi"",""Daddy Yankee"",""undirected"",20"
"218,""Tini"",""Sebastián Yatra"",""undirected"",13.3333333333333"
"219,""Zayn Malik"",""Taylor Swift"",""undirected"",6.66666666666667"
"220,""The Weeknd"",""Daft Punk"",""undirected"",5.71428571428571"
"221,""Shakira"",""Maluma"",""undirected"",4"
"222,""Clean Bandit"",""Anne-Marie"",""undirected"",3.33333333333333"
"223,""Clean Bandit"",""Sean Paul"",""undirected"",3.33333333333333"
"224,""Anne-Marie"",""Sean Paul"",""undirected"",3.33333333333333"
"225,""Cédric Gervais"",""Chris Willis"",""undirected"",2.85714285714286"
"226,""Cédric Gervais"",""David Guetta"",""undirected"",2.85714285714286"
"227,""Chris Willis"",""David Guetta"",""undirected"",2.85714285714286"
"228,""David Guetta"",""Robin Schulz"",""undirected"",2.66666666666667"
"229,""David Guetta"",""Cheat Codes"",""undirected"",2.66666666666667"
"230,""Robin Schulz"",""Cheat Codes"",""undirected"",2.66666666666667"
"231,""Maluma"",""Ricky Martin"",""undirected"",2.5"
"232,""Sean Paul"",""Dua Lipa"",""undirected"",2.35294117647059"
"233,""Louis Tomlinson"",""Steve Aoki"",""undirected"",2"
"234,""Ariana Grande"",""Nicki Minaj"",""undirected"",1.9047619047619"
"235,""Charly Black"",""Daddy Yankee"",""undirected"",1.81818181818182"
"236,""Maroon 5"",""Kendrick Lamar"",""undirected"",1.66666666666667"
"237,""Tiësto"",""Bright Sparks"",""undirected"",1.6"
"238,""The Weeknd"",""Daft Punk"",""undirected"",1.53846153846154"
"239,""J Balvin"",""BIA"",""undirected"",1.48148148148148"
"240,""J Balvin"",""Pharrell Williams"",""undirected"",1.48148148148148"
"241,""J Balvin"",""Sky Rompiendo"",""undirected"",1.48148148148148"
"242,""BIA"",""Pharrell Williams"",""undirected"",1.48148148148148"
"243,""BIA"",""Sky Rompiendo"",""undirected"",1.48148148148148"
"244,""Pharrell Williams"",""Sky Rompiendo"",""undirected"",1.48148148148148"
